file_name,image_id_a,image_id_b,n_batches_for_file,mask_area_a_px,mask_area_b_px,n_anns_a,n_anns_b,iou
20160213153054Bh.jpeg,010401-20160213153054Bh,010403-20160213153054Bh,3,13414,22304,6,4,0.35019278748015426
20120215153654Bh.jpeg,010101-20120215153654Bh,010102-20120215153654Bh,2,51412,39166,18,10,0.3518095664502649
20160215133734Ch.jpeg,010401-20160215133734Ch,010402-20160215133734Ch,3,6800,14799,7,10,0.35442402959804353
20120729122634Ch.jpeg,010201-20120729122634Ch,010203-20120729122634Ch,3,30183,32799,10,8,0.35655208064099253
20170103030554Uh.jpeg,010101-20170103030554Uh,010103-20170103030554Uh,3,2624,2173,4,3,0.357001414427157
20131016185334Ch.jpeg,010102-20131016185334Ch,010103-20131016185334Ch,3,30541,13381,8,8,0.35758662256977714
20160401170314Mh.jpeg,010103-20160401170314Mh,010102-20160401170314Mh,3,6946,16154,8,4,0.35834411384217335
20120404063154Uh.jpeg,010403-20120404063154Uh,010402-20120404063154Uh,3,13463,11631,3,7,0.3591507339002329
20131007075314Th.jpeg,010402-20131007075314Th,010401-20131007075314Th,3,23651,13030,10,7,0.36036938139741875
20110301082654Uh.jpeg,010403-20110301082654Uh,010401-20110301082654Uh,3,1245,702,2,1,0.36058700209643607
20210817165030Mh.jpeg,010402-20210817165030Mh,010401-20210817165030Mh,3,5937,3309,4,2,0.36070640176600444
20111229063154Uh.jpeg,010401-20111229063154Uh,010403-20111229063154Uh,3,4165,7754,3,7,0.3621714285714286
20201227202710Mh.jpeg,010403-20201227202710Mh,010401-20201227202710Mh,3,2595,2468,4,4,0.36358739563695125
20151117172314Mh.jpeg,010102-20151117172314Mh,010103-20151117172314Mh,3,34817,14460,7,10,0.36403144549631844
20151122172614Mh.jpeg,010102-20151122172614Mh,010101-20151122172614Mh,3,19257,24972,9,14,0.36425046267735967
20150731082034Lh.jpeg,050102-20150731082034Lh,050103-20150731082034Lh,3,39075,15973,10,8,0.36446559587547095
20141016195834Ch.jpeg,010402-20141016195834Ch,010401-20141016195834Ch,3,17595,8278,13,9,0.365113702316256
20160526011254Uh.jpeg,010101-20160526011254Uh,010102-20160526011254Uh,3,17184,41439,8,8,0.3657394464635169
20120603123034Ch.jpeg,010101-20120603123034Ch,010103-20120603123034Ch,3,10858,14895,5,5,0.3678032717229658
20180825205030Ch.jpeg,010103-20180825205030Ch,010102-20180825205030Ch,3,5594,14316,2,2,0.3678208298983237
20110914063134Lh.jpeg,010101-20110914063134Lh,010102-20110914063134Lh,3,17059,30705,18,22,0.36808638615988315
20140604195854Bh.jpeg,010101-20140604195854Bh,010103-20140604195854Bh,3,7140,5706,8,5,0.36892583120204603
20180202130330Ch.jpeg,050103-20180202130330Ch,050101-20180202130330Ch,3,2080,3375,3,2,0.36991461577096935
